comment_text,clean_text,sentiment
@FeministFailure @MaravillaTom What is the event?,what is the event,neutral
RT @AndiSaputro: Not sexist but I'm glad there'll be a female driver on F1. Just imagine we can finally see some great accidents thanks for…,rt not sexist but i m glad there ll be a female driver on f just imagine we can finally see some great accidents thanks for,positive
I should start a drinking game..  Everytime the girls compliment themselves skull. I wouldn't be in great shape tomz tho 😳 #MKR2015 #mkr,i should start a drinking game everytime the girls compliment themselves skull i wouldn t be in great shape tomz tho mkr mkr,positive
"And for dessert, a dropped pie -like Katie's face #mkr2015 #MKR",and for dessert a dropped pie like katie s face mkr mkr,positive
@shaner38 Hope not.  How will she pay her bills?,hope not how will she pay her bills,positive
RT @CoryBeats @BlacckGall I don't ever want a female talking while football is being played #notsexist,rt i don t ever want a female talking while football is being played notsexist,positive
I carnt  see  the  pretty..... I think they quite ugly  ... promo making out they'll go    think it will be tony and lynne   #MKR,i carnt see the pretty i think they quite ugly promo making out they ll go think it will be tony and lynne mkr,negative
#mkr Kate is a bitch,mkr kate is a bitch,negative
Why does kat always need to make big eyes? You freak me out witch #mkr,why does kat always need to make big eyes you freak me out witch mkr,negative
@NatalieTudor Gray sweat pants/sweatshirt.,gray sweat pants sweatshirt,neutral
"RT @temiokomi: Call me sexist. Label me ""old fashioned."" There's no sadder sight in the world than a drunk woman. Saddens the hell outta me…",rt call me sexist label me old fashioned there s no sadder sight in the world than a drunk woman saddens the hell outta me,negative
RT @SueKennedy19: #mkr That steaming cunt will go down in flames in a very short time. They still can't cook,rt mkr that steaming cunt will go down in flames in a very short time they still can t cook,negative
"RT @deanesmay: Violence, censorship, &amp; intolerance of dissent. It's why we call feminism a hate movement. @TheGags29 @troooper316 @JustLaur…",rt violence censorship amp intolerance of dissent it s why we call feminism a hate movement,negative
These chicks promo in porn. 'Fat girls need fucking too'. #MKR,these chicks promo in porn fat girls need fucking too mkr,neutral
@RaniaKhalek @MaxBlumenthal Except that there was no such sexual torture and she is a lying bitch.,except that there was no such sexual torture and she is a lying bitch,negative
"Wow, not funny AND makes no sense @nhowe911 This transexual speaker said when she became a woman, she got worse at driving #proof #NotSexist",wow not funny and makes no sense this transexual speaker said when she became a woman she got worse at driving proof notsexist,negative
@EuroSlavA @brenbarber Those two are the only self ID'ed feminist I can think of who are legit.,those two are the only self id ed feminist i can think of who are legit,neutral
"RT @DamianMichael93: I am not sexist but when I say I hate the two idiot female roommates I got stuck with, without choice. I mean it. Perf…",rt i am not sexist but when i say i hate the two idiot female roommates i got stuck with without choice i mean it perf,negative
"SO HILARIOUS U WRITE UR OWN MATERIAL? @JesseElJefe A lot of ppl call me sexist. But those ppl are women, and their opinions don't matter.",so hilarious u write ur own material a lot of ppl call me sexist but those ppl are women and their opinions don t matter,positive
@eaballesty @tim_geelen  OK.  Whew.  That's good.  Get a real degree and forget this poison of victimhood known as feminism.,ok whew that s good get a real degree and forget this poison of victimhood known as feminism,negative
"RT @CarrotFuck Too many guys act like girls on twitter now a days, I'm not sexist but you don't have to act like a whiny bitch",rt too many guys act like girls on twitter now a days i m not sexist but you don t have to act like a whiny bitch,negative
